simulation,sample_comp_mean,sample_comp_std,correctness
84,220695.142857,141350.71157,96.42857
85,228885.988235,159312.64919,96.47059
86,229639.744186,158536.08564,96.51163
87,227571.390805,158785.11525,96.55172
88,225606.159091,158940.90264,96.59091
89,224223.674157,158576.65891,96.62921
90,226382.888889,159003.41852,96.66667
91,224950.846154,158709.88987,96.7033
92,223448.934783,158493.87893,96.73913
93,221158.505376,159162.92582,96.77419
94,219293.893617,159331.97718,96.80851
95,221338.389474,159725.91306,96.84211
96,219728.458333,159664.77981,96.875
97,218083.061856,159655.66933,96.90722
98,216218.612245,159896.90463,96.93878
99,215133.060606,159449.84407,96.9697
100,216397.22,159148.42772,97.0
101,216578.524752,158368.98279,97.0297
102,215267.705882,158140.40601,97.05882
103,215290.495146,157371.03006,97.08738
104,214095.923077,157081.16115,97.11538
105,216447.590476,158160.20785,97.14286
106,219838.886792,161202.53594,97.16981
107,220683.878505,160683.16819,97.19626
108,220209.962963,160012.64558,97.22222
109,218558.651376,160198.76675,97.24771
110,217757.709091,159688.01908,97.27273
111,216041.0,159983.47179,97.2973
112,215076.0,159591.83254,97.32143
113,213570.309735,159681.16449,97.34513
114,213003.77193,159093.29348,97.36842
115,211963.13913,158789.28078,97.3913
116,212578.258621,158240.91156,97.41379
117,212163.358974,157626.57088,97.4359
118,211060.322034,157410.06372,97.45763
119,215521.537815,164067.66572,97.47899
120,214288.066667,163935.75964,97.5
121,212865.495868,163998.99793,97.52066
122,213697.688525,163581.82325,97.54098
123,213021.227642,163086.74706,97.56098
124,212581.370968,162501.04647,97.58065
125,211491.608,162304.02865,97.6
126,212636.222222,162164.41408,97.61905
127,213566.433071,161861.85061,97.6378
128,218228.203125,169571.67711,97.65625
129,217429.108527,169154.91374,97.67442
130,216190.292308,169089.48443,97.69231
131,214860.038168,169124.34713,97.70992
132,213855.166667,168874.61177,97.72727
133,213303.736842,168357.79328,97.74436
134,212155.835821,168250.02999,97.76119
135,212948.97037,167876.9714,97.77778
