simulation,sample_comp_mean,sample_comp_std,correctness
412,15006.4587379,301.99703,100.0
413,15004.8934625,303.29987,100.0
414,15004.6328502,302.97964,100.0
415,15004.6240964,302.61444,100.0
416,15004.6225962,302.2505,100.0
417,15005.4148681,302.32004,100.0
418,15006.7751196,303.23312,100.0
419,15005.7613365,303.57943,100.0
420,15005.4738095,303.27493,100.0
421,15006.0427553,303.13886,100.0
422,15005.5189573,302.97016,100.0
423,15004.9787234,302.81526,100.0
424,15004.9292453,302.45966,100.0
425,15005.4,302.25909,100.0
426,15004.5610329,302.39914,100.0
427,15003.7494145,302.50901,100.0
428,15003.771028,302.15573,100.0
429,15003.3822844,301.9105,100.0
430,15004.2069767,302.04262,100.0
431,15004.5684455,301.78512,100.0
432,15003.962963,301.69761,100.0
433,15002.9030023,302.15327,100.0
434,15004.9815668,304.88847,100.0
435,15005.4045977,304.66531,100.0
436,15006.2477064,304.82335,100.0
437,15008.402746,307.78161,100.0
438,15008.586758,307.45412,100.0
439,15007.1685649,308.53468,100.0
440,15007.6704545,308.36323,100.0
441,15007.6303855,308.01456,100.0
442,15006.5769231,308.46027,100.0
443,15006.03386,308.32339,100.0
444,15005.5045045,308.17745,100.0
445,15005.4808989,307.83139,100.0
446,15004.9529148,307.68775,100.0
447,15006.639821,309.40122,100.0
448,15006.3683036,309.10902,100.0
449,15005.6325167,309.15712,100.0
450,15004.5311111,309.69406,100.0
451,15004.2150776,309.42316,100.0
452,15003.5929204,309.36297,100.0
453,15004.1699779,309.26475,100.0
454,15003.9251101,308.96793,100.0
455,15004.3604396,308.76757,100.0
456,15004.6842105,308.50614,100.0
457,15004.6301969,308.17058,100.0
458,15005.3733624,308.24365,100.0
459,15005.211329,307.92721,100.0
460,15005.776087,307.83021,100.0
461,15005.978308,307.52674,100.0
462,15006.021645,307.19515,100.0
463,15006.712743,307.22256,100.0
464,15007.0668103,306.98587,100.0
465,15007.0,306.65898,100.0
466,15008.0343348,307.1407,100.0
467,15007.1948608,307.34639,100.0
468,15007.4401709,307.06361,100.0
469,15008.0916844,307.05972,100.0
470,15008.4021277,306.80656,100.0
471,15008.4288747,306.48124,100.0
472,15008.3813559,306.15814,100.0
473,15008.5919662,305.86856,100.0
474,15008.6561181,305.54893,100.0
475,15008.9515789,305.29491,100.0
476,15008.7941176,304.99336,100.0
477,15008.5199161,304.73222,100.0
478,15007.1694561,305.83881,100.0
479,15007.2609603,305.52595,100.0
480,15007.9395833,305.5687,100.0
481,15008.2785863,305.34123,100.0
482,15008.7157676,305.17499,100.0
483,15007.8861284,305.40254,100.0
484,15007.8409091,305.0885,100.0
485,15008.4989691,305.11747,100.0
486,15007.3312757,305.88628,100.0
487,15006.1848049,306.61553,100.0
488,15005.4180328,306.76825,100.0
489,15005.0408998,306.56764,100.0
490,15005.0204082,306.255,100.0
491,15004.7637475,305.99572,100.0
492,15004.0609756,306.08098,100.0
493,15004.8843813,306.31537,100.0
494,15004.8684211,306.00539,100.0
495,15005.3191919,305.86027,100.0
496,15005.4959677,305.5771,100.0
497,15006.3018109,305.79662,100.0
498,15006.6546185,305.59068,100.0
499,15006.002004,305.63151,100.0
500,15005.688,305.40628,100.0
