simulation,sample_comp_mean,sample_comp_std,correctness
65,14804.0307692,268.28813,100.0
66,14811.6363636,273.21762,100.0
67,14811.1044776,271.20544,100.0
68,14811.8823529,269.27919,100.0
69,14813.5362319,267.66844,100.0
70,14813.9714286,265.77423,100.0
71,14818.1408451,266.19157,100.0
72,14822.0833333,266.41581,100.0
73,14822.2739726,264.58969,100.0
74,14819.9459459,263.54752,100.0
75,14819.9466667,261.78464,100.0
76,14823.8947368,262.29471,100.0
77,14824.8311688,260.71378,100.0
78,14817.8205128,266.24188,100.0
79,14821.1139241,266.14562,100.0
80,14816.575,267.5362,100.0
81,14809.2098765,273.91892,100.0
82,14811.6829268,273.15188,100.0
83,14815.2289157,273.39364,100.0
84,14812.4285714,272.95631,100.0
85,14812.2588235,271.3504,100.0
86,14813.6511628,270.07341,100.0
87,14815.4252874,269.02034,100.0
88,14816.1136364,267.5645,100.0
89,14817.2359551,266.26531,100.0
90,14821.9555556,268.49937,100.0
91,14824.0,267.72349,100.0
92,14827.8478261,268.78264,100.0
93,14824.7741935,268.95433,100.0
94,14823.5319149,267.78801,100.0
95,14823.0947368,266.40859,100.0
96,14824.1458333,265.21536,100.0
97,14823.5463918,263.91009,100.0
98,14821.9387755,263.03712,100.0
99,14823.979798,262.48409,100.0
100,14825.04,261.38133,100.0
101,14820.3960396,264.19765,100.0
102,14817.7647059,264.22603,100.0
103,14817.8640777,262.94217,100.0
104,14820.8269231,263.39698,100.0
105,14828.7428571,274.28831,100.0
106,14829.9622642,273.27724,100.0
107,14827.3084112,273.36615,100.0
108,14824.4074074,273.74735,100.0
109,14824.1284404,272.50416,100.0
110,14818.7818182,276.94648,100.0
111,14819.4594595,275.78774,100.0
112,14818.4464286,274.76116,100.0
113,14815.8584071,274.91047,100.0
114,14814.4912281,274.08765,100.0
115,14813.7043478,273.02266,100.0
116,14814.7413793,272.07067,100.0
117,14812.957265,271.58611,100.0
118,14812.3050847,270.52487,100.0
119,14812.7226891,269.424,100.0
120,14810.65,269.25009,100.0
121,14809.6694215,268.35025,100.0
122,14808.557377,267.528,100.0
123,14809.2845528,266.5593,100.0
124,14806.983871,266.70565,100.0
125,14802.032,271.29957,100.0
126,14802.1269841,270.22292,100.0
127,14802.7559055,269.24952,100.0
128,14803.8125,268.45989,100.0
129,14808.0465116,271.67382,100.0
130,14810.0615385,271.5929,100.0
131,14810.1679389,270.55702,100.0
132,14813.2121212,271.77294,100.0
133,14812.962406,270.76451,100.0
134,14815.6268657,271.49681,100.0
135,14815.9259259,270.51155,100.0
136,14816.0882353,269.52178,100.0
137,14816.8029197,268.66564,100.0
