,Epilepsy
RAB3GAP2,0.02493575229494105
CASP9,0.025939486167736232
LIPH,-0.01320275469212591
OC90,-0.011729424911714
ENPP5,-0.02708947239850761
IKZF2,0.010311071821087299
MBIP,0.011361529346335875
CCDC91,0.013744760057551318
FAM114A1,0.015210790227038114
ZFPL1,0.015227004196267059
TAX1BP3,-0.011061083520697826
MCM6,-0.01201079010836896
TEDC1,-0.015927062645802386
PTS,-0.014423590122657563
PRKACB,0.011051897538066598
SLC35F4,0.012634357955817929
DCLK1,0.01667156882561109
MED31,-0.044856407101063894
SEPHS2,0.010634147147005626
FBXO38,0.015325062004658078
LIMS1,-0.010490519265533082
SRPK1,0.033351135909539927
PTPN5,0.015119488695957995
APOPT1,-0.019725470930066744
NAP1L3,0.01164442645387863
LAPTM5,-0.04169424268560689
ERH,-0.018015160354840135
PRKCA,0.01717059670903414
NLRC3,-0.012756467323312544
ZSWIM8,0.019807737937221716
EPB41L1,-0.029135190965887896
TMEM115,0.010654876994696905
TMIE,-0.017490344073113562
FGB,0.011979411928785719
BMP1,-0.030693083917196842
IRX1,-0.015498416859994106
KLF13,-0.026233793333892724
TRIM29,0.017111556548185674
PVALB,-0.03536507627824488
NEK9,-0.01211271482974662
ATP6V1F,-0.01636843056428607
H2AC20,-0.0225372783039978
NFIC,-0.028211976611400923
RAC3,-0.016284821009621385
SLC23A3,-0.07903481937058551
SEPTIN3,-0.04394130473116201
NLGN3,0.023827852360595897
IL18R1,-0.01731174286040179
OLFR656,0.010709687029892929
MAGI3,0.013572072546323845
MTREX,-0.05313113057402515
TMEM242,-0.015448502042442807
HNRNPH1,0.013259518808565601
CIAO1,-0.028241799530652485
COPS8,-0.06947791204029517
D130043K22RIK,0.02816743736170729
RDM1,-0.022400265717449113
KIF2C,-0.010407176948460153
POLR3H,-0.014748053195066198
ROBO4,-0.020484879720037454
ZFA-GPN1,-0.010590280781372757
GFER,-0.01629611337362992
P2RY14,-0.010817453942775506
MEN1,0.0196948364682184
ELMO3,0.010733124900853097
OLFML1,-0.0322600801425002
PPP4R2,0.013205431469160405
WNT8A,0.01419577937459517
ZFP747,-0.016589398951360447
ZMYM3,0.027455511661576993
C130074G19RIK,-0.011609248175206761
LARP6,0.0344847370068225
H2AC10,-0.03236427437088006
ARL1,-0.018656776523645287
PXDC1,-0.013033745602868603
EWSR1,0.01291588988086626
SLC24A4,0.015877725006519287
MYG1,-0.015433738712723008
ZFP410,-0.015965869469119088
TSPAN33,0.01969930518849756
TMEM8,-0.013072104189496569
DGAT2,0.02975926405167551
APPL2,-0.01535122685548898
ACBD5,0.011546988664396773
KIF4,-0.018930426485476035
GPR183,0.012816782288376313
TEK,0.013139232600277058
PPP1CCB,-0.016375016949318952
SLC26A4,0.013662675638377966
LHFP,-0.01214174711941578
JAZF1,0.013406750560586178
PSMD7,-0.022273944978430306
EIF6,-0.010632921081976679
PUM3,0.02213637999449479
HDAC3,0.011729257990415895
TICAM1,0.01054301958417509
HCST,-0.011575481543931487
PPIL3,-0.02514724278746747
CAMK1D,-0.01101574979909164
ANKS1,-0.012353224662202606
ARPC1A,-0.014270602639107233
TRP53I11,-0.010589591047370579
MAGEE1,0.04099941048896601
PYGM,0.017170269159396664
S100A16,-0.02781325595673462
LRRC41,0.017146093837618427
TENT2,-0.012188585007928176
FV1,0.013493842129507399
HNRNPA3,0.019222253754287988
TM9SF4,0.011485540824074153
NCKAP1,0.02851252192726267
IRGQ,0.01750044189855975
PAPOLA,-0.015217515043417621
SATB1,-0.02563932078234622
RNF112,0.02015447753837642
RNASE1,-0.022700909069823236
LMAN2L,0.038322838637077715
OLFR736,-0.012258414145765381
SYT5,0.021192755261826984
NTN3,0.014822916039289947
CAMTA2,-0.024238496639363335
CCDC85B,-0.015076891845012375
DLGAP4,-0.0162659640953386
SPINK8,-0.03603988038081663
PTPN6,-0.022313313240484533
PRKD3,-0.02171929889273726
ZC2HC1A,-0.01106092716024274
HERC3,0.013961726417171237
PSAT1,-0.030819773378742116
TSTA3,0.011737274337904866
OLFR151,0.014115914825516876
PDLIM2,-0.02249982697811163
PPM1F,-0.011560800855639087
RHOBTB3,0.020401154162576735
CRYZL2,-0.04093479876648837
1810009A15RIK,-0.034270956053815055
RAB32,-0.012468931261834593
IL20RB,-0.01257025408052289
LGALS8,-0.012842935060586426
RDH5,0.021637591771611474
TTYH3,-0.01289384353318934
PSMB7,-0.01106942513760381
MLLT11,0.011301823597588013
PITPNA,0.0188854617735671
MAD2L1BP,-0.012017783085880012
NKX2-SLC35B3,-0.03148816412486778
NDST1,-0.019537523361065016
SCP2,0.02787460037384534
PLAA,0.014445550821434323
ABCA7,0.010644059875400284
BSCL2,0.024163318224143495
GNB2,0.022712097233179317
CTLA2A,0.011598591713617653
DIO3,0.035283890532063315
TCN2,-0.01362015008754143
OSBPL6,0.01361915700348295
CD74,-0.03212714989269629
RNFT2,0.0145779774897117
JAGN1,-0.013866440441729971
ZFP3,0.01812569129441274
UIMC1,0.010652611254817984
RGS18,0.010502207864777947
GLB1,0.014656237453874415
COX19,-0.01564241809324638
GTF2IRD1,-0.014954525732649458
SMIM8,-0.01539992720754684
STOML1,0.012126201467473218
TH,0.01672464164423024
KIFAP3,0.01114774259585947
PAQR7,0.02617823804327059
REM2,0.01169260305174924
YIPF3,0.016704348339919083
ERAP1,-0.013689962346161287
KANK4,-0.010647600917748428
RIIAD1,-0.017333434696129267
MEPE,-0.013760156391440851
OLFR44,-0.011407114459449178
RPL21,-0.0183789562900433
GPSM3,-0.01981157436895138
LGALSL,0.015528934730136727
GMFG,-0.010509967891538796
MIPEP,-0.06321988235572658
SGCA,0.011907257014597994
ANP32A,0.024501983748947374
SMAP2,0.01637171600035224
SGCB,-0.013333849020166218
PTPN21,-0.023159030652371525
EXOC4,-0.010342587852593458
ANKRD46,0.01749288488588444
HSPA9,0.014807651445530761
BRCC3,-0.010351379321885746
VPS33A,0.015120681319794523
ROGDI,0.020095583340033377
UNC79,0.013037316254731425
ATG10,-0.010710242958468992
BAALC,-0.019249612730727148
RCC1L,0.0153306535693559
JKAMP,-0.027223301057984147
OLFR8,0.011631846841240493
EFL1,0.01615991877201799
H2-GTF2H5,-0.019208055433476756
CCL4,-0.045228760621038436
FNDC8,-0.014239152681597601
HSPA2,0.024122094526077636
PGS1,-0.01177106774821056
SERF2,-0.029015882917336852
HP1BP3,0.021659244659735045
SETD6,0.012233618640263608
PCED1A,-0.011440500917144302
NAA20,-0.011531261302364065
6430571L13RIK,0.012136057747369528
YIF1A,-0.027157481221061378
SHPRH,-0.017787638914010816
SREBF2,0.010950612355588018
HRAS,-0.012014981165051824
SNRPB,-0.01429422236274432
ARHGAP1,0.034146548543938164
DAW1,-0.010678220247490882
MYH8,-0.019633596983444735
PRDX1,-0.01899801290070202
EAF1,-0.013950853790048665
CSNK2A1,0.010645537254459136
WIPF2,-0.025861446701678392
PUM1,0.014453917134943345
ANK3,-0.012628915230659864
ALDOB,-0.014002774977259842
MAL,-0.044207286454854895
PDE1B,-0.018585591288298793
VAV1,-0.0362517709574358
WFS1,0.0569069145116291
VTI1B,-0.024753114340996224
TMEM177,-0.014967490433818172
KDM5D,-0.015872882070631786
N4BP2L1,0.019379260072825776
SLC12A5,-0.010731767139912625
CDIPT,0.0106974087309758
MTDH,0.030680989356752196
SLMAP,0.020994720167388344
CUL3,0.03196105537983357
DDX41,0.012278337072503361
ST3GAL1,-0.01406809474463712
FOXQ1,0.026570431035315454
FAM98A,0.01264818332049257
SPAST,0.01821165570487842
ZMIZ1,-0.028541902993530963
CKB,0.015065078910106052
GPRASP1,0.04398177206131296
ELOVL1,-0.015232950753187056
NDUFS2,-0.022090685758129305
KAT6B,0.01059787132773009
PLA1A,-0.013476013278916035
GIMAP6,-0.03151950513397513
ASRGL1,-0.020073452513738516
SLC30A1,0.015039199320016882
GLRP1,0.024268824302750645
TAAR9,-0.01436088328848911
ATPSCKMT,0.013725539309575548
SEZ6,0.041977626804895835
ATRIP,0.02179778859525099
MBOAT1,-0.03144156094579926
CARHSP1,-0.0386925704884245
ARHGAP32,0.011711749267742091
2610524H06RIK,0.056467834685372496
NOSIP,-0.015621517924058827
SMIM14,0.015581757827795391
RSAD2,-0.013047262951517197
RTRAF,-0.018183439939112866
CDKN2D,-0.015123011230566877
UCHL1,0.01591381479871573
4933434E20RIK,-0.011325548548072408
SNRPD1,-0.014206964947315671
CCNI,0.018465675756658605
C1QBP,-0.010977473763855331
OCIAD1,-0.032063885015323965
CCL24,0.013622648300965729
CEACAM16,0.014129881006271307
TRAPPC4,-0.017795668404050505
ARSA,0.018795162180319014
IGF1,-0.015003966335015195
ABCG4,0.0236452211310373
1110008P14RIK,-0.010354662044282316
S100A1,-0.03111538467567962
SENP3,0.01588522028957164
SLC35A1,-0.02105569292931605
UBL3,-0.01243312180383776
MED7,-0.01278886716141864
OLFR361,-0.014999916695883667
FDPS,0.04148200769730684
MFSD2A,0.05563700412454062
HBB-KHNYN,0.022704068325839714
SLC1A1,0.02330796710535654
LAS1L,-0.012017218338426639
SRM,0.0175277945074485
AQP11,-0.016056811553717756
SERPINA7,0.010956117058483702
ASB16,0.01690827771432899
TBC1D20,0.01575782079095352
JTB,-0.023095036780600164
PIK3R3,0.014770898411071471
ANTXR1,-0.011896653958132088
LANCL1,0.028453150024049308
BAG3,0.014855708727456786
CNTFR,-0.011108273998163484
SHOX2,0.011496945961419928
CUL1,0.010945332254595767
CNNM2,0.010377199636585895
ARFRP1,-0.012379678590404203
KCNK4,-0.016093583037848004
CSDE1,0.01546638667134236
CYP2G1,0.01642874108681516
ANGPT1,-0.010321328522665303
H2-AB1,0.012329745124243358
KCTD2,0.01655366802984796
MAP2,-0.021905929133936977
CCR2,0.010422506642100005
TEPP,-0.014205894035954379
TMEM132A,0.028019647224981674
TCEANC2,0.011304303616460001
TCTEX1D1,0.010885049801366915
CCDC134,0.012558156689172395
PARP2,-0.010372566212847602
KRTAP19-HOMER1,0.02336893150727148
CD274,-0.03115902775239093
SELENOM,0.013089350049512763
OLFR1201,-0.010703900959978892
PEX5,0.015257642589655325
SCAMP2,-0.01493093866166491
RASSF2,-0.02133569307571954
GAS2L1,-0.029139515812870855
NDUFB4,-0.013247139926870165
IL1A,-0.010787030992907102
FBXL19,-0.014754717090429227
BTBD3,-0.022841983414488492
NARS,0.011100526117087006
KHDC4,0.011457225059718691
ZER1,0.01787869814178235
TRIM28,0.024203607146639904
TIMM10,-0.035396772799461754
FLOT2,-0.012296179935183916
AGT,0.020200735953408377
RTN4RL1,0.015438933637716375
RPL35,-0.037937238386871006
STARD5,0.013326625728218237
PMVK,0.014848313022744069
ADCYAP1,0.014927986794958837
ZFY1,0.014051790533825468
RNF141,-0.01105476942595858
SLC4A1,0.014107795314206117
WDR74,-0.011480413041115963
KLRA13-NUDT22,-0.015087366714597891
ARPC1B,-0.045723801844107397
BC052040,0.029435122472667313
FBXO34,0.010532440425193346
SH3PXD2A,-0.012041862481106332
MRE11A,-0.014919484405224939
DCTN3,0.029565860916317084
GGNBP2,-0.012608062207233641
ARHGAP10,-0.012969882721531354
RPS16,-0.036047224442605615
ACHE,0.016967420994014222
MIDN,-0.012587199519767882
NKX2-DUSP8,-0.019357365743986957
PTCD3,-0.0137444147714252
ZFP868,0.01127574621271379
ARHGAP8,-0.016528538410266132
ROMO1,-0.016561120203814558
SLC9A6,-0.011574883057556275
LYPLA2,0.03698969788448725
IFI30,-0.02485307894241856
CHCHD1,-0.029020683614342506
GSTM1,-0.02404706329666381
PRICKLE1,0.018373313738140145
PPP2R2C,-0.019854052954099543
CFP,-0.022379562066469988
PLCL2,0.02712407595068127
DCTPP1,-0.027462494227637222
ITPR3,0.01238945913679487
TMEM220,-0.015071460345215767
SETDB2,-0.013758078942674567
APOC1,-0.011886597582767465
PDXP,0.01899899837418428
CSNK2A2,0.017591181951372967
PMP22,-0.01959048997428371
CAMK1G,0.011316592862571709
EPHA7,-0.011366399594050215
APAF1,0.01691606525756038
GUCY1A1,0.010692346026107852
IRF2BP1,0.016176156905727303
SEC24B,0.012541100319809904
SDC1,-0.01827614174723895
ISYNA1,-0.015380086102411783
HID1,0.03279157850965333
ATP6V1G2,0.018087791019429464
CEP41,0.027349261741177036
FST,-0.018986886634411747
RHOBTB2,0.021941407053437112
TARDBP,0.017488564393630755
TXNDC17,0.011604728638860704
FBXO44,-0.01041048574861003
C87436,0.011247470656609571
EEF1B2,-0.03843289165768994
KLHL21,-0.025806663312081944
MRPL33,-0.04457043164867275
CCDC190,-0.0404821637373275
RASL2-MTCH2,-0.0233485039185543
SPATA2L,0.017395320706403705
DHX57,0.012740849583726436
PDK1,0.013070503186014415
TRIQK,-0.02209779560607729
SYT13,0.014649300968512528
PPP2R2B,0.03131448726702934
TMPRSS7,0.011132696197178233
CUEDC1,-0.017336257284467294
HSD17B7,0.01292889703656338
CSK,0.013516926538485411
SPON2,-0.016580392646368586
IGSF3,-0.035446015307563555
CYS1,0.01178844028466013
INHBE,-0.010858579190804102
MOCS2,-0.023914044481395145
USP29,0.06279837237369867
TMEM132E,0.021755717356208893
FLRT3,-0.028848189652406604
YTHDC1,0.01963848373535525
NRBP1,0.01390218660608209
AMMECR1L,-0.03588958485519941
TOLLIP,0.01573201676388389
FIBCD1,0.1183032803134627
RAP1B,-0.027424945840502268
MAPRE2,0.034284688915652194
DMKN,-0.01753432518562218
SCAI,-0.012902438638836673
ST7,0.010795896219194063
FUNDC1,-0.02348126778357965
IL11RA1,0.018932586659167933
VEZF1,-0.012643117842067392
UBA7,-0.018232679810361068
D11WSU47E,0.01640888573378759
VMN1R46,-0.013163856368894604
ACVR2B,-0.011005257307415315
TMEM37,0.015654810273555916
DNAJC6,0.01586472413711318
ME2,0.012482578671525184
OPHN1,-0.01751757285909835
SLC9A8,0.01125844905201825
BCL6,0.020668582480550157
ITPR1,0.013535242932560266
ZC3H6,0.010724884720833381
MSANTD1,0.016427009054722715
PMEL,0.011119434680107664
MOB1A,-0.015371770424121621
RBX1,0.01264104759436417
LPXN,-0.010849424627952995
ATE1,0.024225072677957794
TLE1,0.028256696424795454
MTMR3,0.016130276545136366
FARP1,-0.013021880505774483
MICOS13,-0.026971831557950934
1700001F09RIK,0.018850229591892403
ACSS2,-0.016181657515121784
WASL,0.02129679453227119
AGFG1,0.02415872724997605
HOXD11,0.014617050030051655
KLF12,-0.010424297658935908
WNT9B,-0.012100833400419534
ELOF1,-0.016999645867150293
OLFR536,-0.018732981131450905
CCDC114,-0.02557168666306663
P3H4,-0.016659299316366928
1700030J22RIK,0.01519335470098913
ABHD10,-0.010311776457335371
CYP4F14,0.011832589032799518
TFAP2C,-0.017603992369303267
LANCL2,0.018943175047472255
CRHBP,0.039140792516887776
RESP18,0.02523454086941156
NRSN2,0.04023062303791088
HAPLN3,0.01359053546831516
TENM3,0.023186723868746144
AFG1L,0.021129916216316786
ESYT3,0.01701050981651555
RASGEF1C,-0.010640237307158842
RNF128,0.01519620403916132
OLFR1276,0.010988495941373116
TESK1,-0.01595652680741667
OLFR262,0.016272203293874903
TXNRD2,-0.05553464821754281
KAT5,-0.013231119625479126
CBX8,-0.012281703577569985
OLFR1112,-0.010594891267389023
ZNRF1,-0.010907439873285182
TMX4,0.027939250786822356
FEM1AL,0.012694655378477134
BRMS1L,0.021325775930040335
TSPAN3,-0.012347700170592203
BEX2,0.032718180122836074
RRP36,-0.011710459060329723
2310033P09RIK,0.018717948858504235
CRELD1,0.019261318283115086
CTNNBIP1,-0.03989193023896065
GGCX,-0.021197757253624192
PIGH,-0.023247034987538325
VMN1R219,-0.014549060308917497
KCNK5,0.01055592696070612
MAPK7,-0.011471611031190064
OLFR913,-0.011054096183376768
GLRB,-0.01488168597938238
ZADH2,-0.015332949304605607
MAPRE3,-0.015162870986179884
RPP30,-0.01545993969506786
POR,0.015021701110744025
EZR,-0.011770903588994325
RXRG,0.015086019460894096
TUT1,-0.010436580671779834
POM121,0.013202208158490693
CYB561,0.03067158327280129
ANK,0.010625847216206808
ATOX1,-0.022357869450626768
MRPL11,-0.012356278320492811
CYFIP2,0.010559913668061355
ONECUT3,-0.013090876119944148
CPNE6,0.01633893469138623
RAB12,-0.012526016855300819
SPHK1,-0.05281437604436719
TTC33,-0.013725637561699106
STK19,-0.023326906878185838
FAM114A2,0.029784393921518274
EHD3,0.031084927384452097
DHX30,0.024711416161776672
DHX29,-0.010750597480790932
CRH,-0.011029485980087288
KLC3,-0.012745512969371745
RASGRF1,0.017935433402063418
POU3F1,0.017363289783900237
MRPS9,-0.01568855321472154
MRPS2,0.0168356340357354
NME4,-0.013285062662011102
SORCS3,0.04748298899552627
SYT11,0.010903516630003251
DDX19A,-0.010359407581312376
MINAR2,0.02407553112010836
OLFML3,-0.024879389382202802
IRF9,-0.014395762769464415
CRISP1,-0.01262481491314322
ARFIP2,0.015590592242999562
MYOD1,-0.01197427882271944
NELFE,-0.011778197489788311
LBH,-0.02434039051210221
DCTN6,0.017405822056988526
FAM222B,-0.024736392858536106
STRN,-0.011380410021043659
OLFR95,-0.012919662410877008
EIF3B,0.0102965846467901
WDR34,-0.02099835609534243
CMTM7,-0.011511260407046716
CEACAM20,0.011836445217069157
PON2,-0.033162272469617435
COPG1,-0.0578112365119318
FAM187B,-0.011910364801007364
LSM7,-0.022039894782272872
ATL2,0.011033011686772676
TMEM63C,0.016300284666443208
SLC32A1,0.027340913639396176
PDLIM1,0.05714929829512233
VTN,0.021277647704625112
EZH2,-0.02304245607954209
D8ERTD738E,-0.013829293405441574
YBX3,0.01527560009426265
TWF2,0.015280257532665866
ARMC7,0.011086946360434086
RBM3,-0.02907311455275701
NDUFS4,-0.0220306373890051
TMEM33,-0.012569586664808629
RPS8,-0.03230670587663306
PRPS2,0.012232085548339097
FAM160A2,0.027632405114129604
ZFP277,-0.014699698858939524
CATSPERD,-0.01157455806693893
ARMCX3,0.011630717895896033
PPME1,0.03491124244476787
CLEC2H,0.01604685166508555
DAP,-0.026554253532996737
LCE1A1,0.012423328086738673
CCDC80,-0.019965493538006026
MYOZ2,0.010439262076191587
HOXA3,0.015375918866940584
POLR2E,-0.01182171759156664
DERL3,0.01508658277207428
GAD1,0.03188661593160781
GAP43,0.01937579657267302
KRTAP9-MRGPRB5,0.012632145004036964
FAM167B,-0.01868529680250508
SYN1,0.016054393397976832
SPI1,-0.01791785682651342
GOLPH3L,0.016372446979029523
CAMSAP3,0.01633819251719852
PDLIM3,0.01135793024882258
SF3B1,0.011942849918087424
LCTL,0.012218867894592065
RIPOR1,0.019814355739726827
PRKAR1B,0.038140639492103806
HBB-BT,-0.013022480489581208
CALCRL,0.012504576161013067
BMP3,0.03675595631794872
ATXN2,0.02063810245428235
PRKAR1A,0.011421382162134449
FXYD5,-0.010716474076011541
PROS1,-0.04338050890543822
IGSF5,-0.013037865877156374
SAMD14,-0.012738137463218757
L3MBTL4,0.011782915678382487
HHAT,-0.01555238349921052
RNASE4,-0.030089704991789534
SHKBP1,0.01289417012006373
CD151,-0.01997399346386102
EEF1AKMT1,-0.01745208559112783
ADRA2C,0.014703264886387898
BLOC1S1,-0.027720129068390446
ACBD3,0.011904354904648497
GASK1B,0.013303362478566911
LRRC36,0.011642896133133783
SLC25A32,0.012858350436033223
EXOC6,0.02171201539352951
AK2,-0.014323285315539119
PDGFRA,0.017774762960500838
BTK,-0.017115901117206987
FAM49B,-0.01087649803412775
NOP58,-0.013561114349011036
CAMK2B,0.015329807603562631
PCDH8,0.010767728323199688
TPCN2,-0.017419894035354825
MYEF2,-0.014007628237620797
AP3B1,-0.011400912047640188
TUBB4A,0.027581477402758237
REV3L,0.012014955257592061
ZFP523,-0.015661275880009123
VPS26A,-0.014694324773105527
TCEAL6,0.029503794138948405
USP12,0.01131570883605327
EDARADD,0.010409836053581284
PFKL,0.020110994996490432
RPL23A,-0.024799737618256785
TRIM33,-0.013459770848449005
VSIG1,-0.01305043133491284
SLC24A5,-0.010543063023960202
WFDC2,0.01583948690177299
SHC1,0.016092152126404156
IGFBP2,0.04244044869850257
SEPTIN12,-0.013301780545413729
ANK1,-0.010657965804528024
ZNRF2,-0.010376667863870091
CDKN2AIPNL,-0.011819096657204056
TMEM59,-0.012580114364537433
RALYL,0.024370322565294908
GABARAPL1,-0.022068141745979077
MARCHF2,-0.024801747134365084
MAG,-0.012789695826074102
AU040320,0.01699262943239626
OTUB1,0.012143903599814935
SF3B3,0.013173000763745826
OLFR1038-PS,0.012743846233061915
NRP1,0.014038322602970561
LAMP1,-0.024747023776992085
DGCR2,0.02466232469971308
MINPP1,0.0128360880929143
MRPL28,-0.022894629790077222
SGSH,0.014662074270143226
SCG2,0.01584166722572028
RIT2,0.0217965524903321
ACTL6B,-0.014001546499319988
DLST,0.016891492904089915
DGKG,0.05178192784613005
PARM1,0.03126600612051057
RNF115,-0.011054012641119864
RASA1,0.014759668033962114
OAZ3,0.012233074590154566
IPP,0.010911128632028519
SERBP1,0.022844137846564968
PFKP,0.031948511505933565
KCNIP4,0.01608963645150694
ARSJ,0.016240147637143314
HNF4A,-0.014798733662235842
GPR34,-0.03580193591860417
CLK2,0.012572884441754037
ENC1,0.05021044985413538
AP2A2,0.027260582689664917
TRH,0.08852997747798415
THAP12,-0.02103995513101207
APPL1,0.02065182131371565
TES,-0.020708911199122097
GGN,-0.012695929266035636
TTLL6,-0.012837497432908225
SH3YL1,0.013163329102648676
TRIP12,0.014400798071920698
