,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep1,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep2,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep3,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep4,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep5,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep6,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep7,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep8,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep9,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep10,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep11,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep12,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep13,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep14,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep15,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep16,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep17,hippocampus_pilocarpine_PLX3397_3_mg/kg_rep18
EOMES,6.908296132485714,6.913487112114286,6.8711734885142866,6.899940094228572,6.806162708228573,6.83534984957143,6.9619835839999995,6.836026323685715,6.638816679,6.793701657885714,6.809285642257141,6.774287084314285,6.8722679004,6.841259510857143,6.747340642285714,6.855263774971429,6.83574295082857,6.733529458028573
GSTM2,8.625561846999998,9.293517647999998,8.503379420999998,8.033639930999998,8.963565088999998,8.578484716999998,8.950891146,9.180148785000002,7.871595104,8.360291468000002,8.900418686000002,8.711320304000001,8.527395199999999,8.292139894,8.291829052000002,8.571212555999999,9.117031575,8.588780601999998
KCTD9,7.297102618999999,7.243434100999999,7.227225879,7.218369177999999,7.215449530771428,7.289956246,7.1240202323999995,7.313868433000001,7.139642785000001,7.155866307028574,7.190310043,7.104173626000001,7.282386338,7.1065462034571425,7.274718362,7.3177170989999984,7.188613222000002,7.180866314000001
GM136,7.143598181999999,7.0456476018857135,6.976286619000001,6.955583749857143,7.079285960628572,7.043829198999999,7.145394659685715,7.010426995857143,7.097434013028572,7.174391923999999,7.108010578,7.038714068599999,7.119271950000001,7.039156989142858,7.118402786142857,7.124180841,7.163049761,7.117319417999998
PPM1M,6.830565650885713,6.7762094258,6.859627188142856,6.807781162857144,6.79676763342857,6.808243975314286,6.7908695747,6.796700927314284,6.698820749514286,6.739482039142858,6.792356184,6.812882924000001,6.789349763371428,6.776922595600001,6.7729122790857135,6.831787595828571,6.762766783542857,6.862040677400001
KRT75,6.866080758857142,6.809858373685715,6.740522919999999,6.742828458457143,6.754844029999999,6.802981684057144,6.817952033999999,6.789970030342858,6.810267304328573,6.784000130657144,6.834261386728572,6.7834519775999995,6.759707344542857,6.753388919999999,6.847491697599999,6.7384901278,6.824300996871428,6.786974462514286
TSPAN3,6.786294310085713,6.85161773717143,6.832606068371428,6.855551894800001,6.930462225000001,6.836302037657142,6.941929765542858,6.878347264714285,6.840915561114286,6.945319566114286,6.892210269857143,6.846616642571429,6.824042018628571,6.885296889057141,6.901262627914285,6.9989686986,6.913775537814285,6.931610379285714
CYP4V3,8.127258815,8.250724287000002,8.232554419,8.284715419,8.450097530999999,8.272064846,8.352004212999997,8.578911321000001,8.179333756,8.104315937000003,8.166264366,8.392772426000002,8.168253246,8.094607753,8.164640186999998,8.564329926000003,8.469739711999999,7.943954503
WRAP53,7.685258584999999,7.6400795711142875,7.7625052650000015,7.683309001000001,7.702718892000001,7.6497316920000005,7.833876455999999,7.87569121,7.795690981628568,7.913982797000001,7.926577106000002,7.880532431000002,7.826933718000001,8.046080787999998,7.875115902999998,7.812567504,7.783182147999998,7.719645818999999
THEM4,7.200311685999999,7.161215704999999,7.211767677999999,7.164301266600001,7.224961955,7.237804411000001,7.101344293942856,7.039102521085715,7.225193617571428,7.311647749,7.1843083409999995,7.264343601000001,7.1078667179999995,7.2717774980000005,7.122100210000001,7.210418737999999,7.129653832999999,7.027791092
TRMT2B,6.970308448,7.0683652870000016,6.964704674828572,6.902656237999999,6.945636820999999,6.9710966147714295,6.811450152,6.807161399,6.768540706942857,6.833720322542856,6.856926987114286,6.805294766,6.914645148000001,6.831066581657143,6.8746003698285705,6.9737047389999995,6.831378677000001,6.747716798
KLK7,7.069859579,7.019384657,6.955906426000001,6.977556615999999,7.037849439,7.004348270000001,7.033798039542858,7.091474417085714,7.067308483000001,7.037592526999999,7.086059627000001,7.100647327,7.100382216000001,7.130455258942859,7.130129538542856,7.184215698999999,7.026644318371429,7.052274610914286
PCNX2,8.779849752000002,9.053582543,9.271250963,9.327320625000002,8.747243987999997,9.117502404999998,9.463762501000001,9.276070247,9.090325092999999,9.109412335,9.290091212,8.727140803999998,9.277638329000002,8.939866081999998,9.026765593,8.890471881,9.198960246000002,9.459572687
XPO7,7.144064784028572,7.153082551571429,7.274109825000001,7.2687228039999985,7.193885885085714,7.196876178957143,7.182546733000001,7.2871618080000005,7.017336196228573,7.149566709999999,7.0981356738571435,7.137131258999999,7.140572110342858,7.091282322000001,7.161399796000001,7.197467049142858,7.215910436171428,7.154117887999999
E130309D02RIK,7.287295922,7.157965502000001,7.294643547,7.155030329,7.216275332000001,7.177041028114287,7.2782714014285705,7.341062302999999,7.100249280142856,7.1511888930000005,7.181991184800001,7.155866307028574,7.189809953,7.210153897999999,7.104720264000001,7.184739385,7.173474993,7.095000922999999
BHLHB9,10.621804489999999,10.817553939999998,10.630948069999999,10.757976260000001,10.779031690000002,10.784032019999998,10.579977429999998,10.80450916,10.609696699999997,10.58536526,10.58536526,10.73525651,10.509828439999998,10.772977739999998,10.889764099999999,10.86413597,10.788790530000002,10.835772959999998
PLAAT1,7.695140202,7.708317982999998,7.739237677000001,7.804105381000001,7.560937287,7.6889686070000005,7.710814049,7.605812362000001,7.373780127000001,7.779195523,7.735488845000001,7.424748482999999,7.73780508,7.684087654999999,7.568068079742857,7.845792303,7.630941093999999,7.62252107
GM904,6.740944992685715,6.802572959857143,6.749920967028571,6.776027978857143,6.78305684,6.824248481799999,6.853550635371427,6.858758841285714,6.810945785342858,6.838560723,6.9298935827428565,6.907406387828572,6.856449537828571,6.941458541371427,6.849627974142858,6.831122824285714,6.848471860314285,6.915551376800001
NXPH2,7.665227672000001,7.432489835000001,7.511374553,7.190006782999999,7.4566819629999985,7.39206409,7.294643547,7.301110276,7.398477957000002,7.306465557,7.347505914,7.359724314,7.365892344999999,7.671936800000002,7.463388411,7.506726974457142,7.272652316000001,7.177845206657142
OLFR1095,6.832086432685714,6.816109390000001,6.777790750000001,6.780851895971428,6.767129695685713,6.764555867057144,6.815948500457143,6.7793214644857125,6.798046378028572,6.816207483999999,6.77394823522857,6.718172387999999,6.769597327000001,6.7482252833142855,6.679080672999999,6.719559116999999,6.782792398085715,6.788059237000001
WDR45B,6.867286824228572,6.734749979771429,6.801829651771429,6.825429699599998,6.782512998885713,6.856225177999999,6.877965132028572,6.776854750257141,6.817693350228572,6.900765323028571,6.818793314999999,6.781928323114285,6.833334178971429,6.805503164714285,6.774596255114286,6.802981684057144,6.710252223999999,6.809486698857144
OLFR677,6.887493932942857,6.763649523885714,6.806805769628572,6.832542091342859,6.921859773342858,6.850755528228571,6.798267205657142,6.820591062657143,6.9144550694,6.775809038485714,6.859375623914286,6.8634690193142855,6.844894178485715,6.837093253514286,6.812338732000001,6.88037193,6.804508602771429,6.849035540685715
DAGLA,6.994837658828571,6.997048584999999,7.073599215,7.122486877428574,7.000900918914287,6.992007744571429,6.991482321914286,7.0053724189999995,6.978533427999999,6.991444678514284,7.019694952000001,7.080943692999999,6.969650892999999,7.002641114999999,6.891394635771429,6.963171493999999,6.962734412999999,7.029655567828572
ACKR4,6.865369682542857,6.850007659171429,6.891085656742857,6.853459440800001,6.974404519628573,6.988583770628572,6.93993043117143,6.974378926371429,7.0182256763142865,6.942179162999999,6.984599786342857,7.064499678,6.981241666528572,6.882141165828572,6.939384686514286,6.930314540985714,6.982477681485714,6.934189234514286
EVI2A,9.613702613999997,9.387637598000001,9.217845367,9.697182124999998,9.318623206999998,9.232369740000001,9.215681528,9.374306875,9.209110839,9.24271525,9.308743187000001,9.466091876,9.465508397999999,9.516467528000002,9.502264530999998,9.530269272999998,9.458210582000001,8.778600047999998
GPCPD1,7.101150167999999,7.115154385000001,7.112392236000001,6.897502909199999,6.901175317600002,7.079173907999999,7.073732250000001,7.057351642514286,6.9705978991999995,6.946318935485714,6.968872333999999,6.93740043537143,6.974007981000001,6.944046419057141,6.975072275,7.089117155,6.945265161000001,7.0015267009999995
OLFR523,6.938404028714287,6.847221177,6.806115351542857,6.873351377657142,6.811615437885713,6.755665282114285,6.872628775342856,6.912888904999999,6.895756132999999,6.787683141742856,6.878518074999999,6.879974064885716,6.880322551971428,6.803210671685714,6.986141795000001,6.914148202714286,6.842638557371427,6.820827094685715
DST,6.899378767314285,6.791251233314287,6.902416124028572,6.7814298546571425,6.837324837314287,6.857226958799998,6.927508010742858,6.841131480914285,6.892260322857143,6.874535406428572,6.810734318399999,6.923528442485714,6.911945143942858,6.857593131885714,6.923122011999999,6.908910821199999,6.911957252714286,6.9386678688
IRF2,8.767121092000002,8.881904163,8.860067475,9.085714542,9.002093332000003,9.096220202999998,8.677684107000001,8.888002073999997,9.026189497000003,9.164759671000002,9.104759323999998,9.262391781000002,9.071229145000002,8.794677394,8.975586904000002,8.764424666000002,9.100597838999999,9.098096251000001
4931414P19RIK,6.844798446942856,6.793405476914287,6.782015888942857,6.823233040657142,6.866327150799998,6.828663336514286,6.674744688314286,6.742619232599999,6.730096931199999,6.929593977200001,6.7240751219999995,6.720122999999999,6.683049732999999,6.792805358199999,6.743835648571429,6.7084749409999995,6.741548536000001,6.794428578942856
DEFB50,6.864783273657144,6.796372642171428,6.787174560314286,6.834928549771429,6.776049462314286,6.833136386028572,6.919940101542858,6.80117736,6.821746311,6.860544474885714,6.858598916285715,6.840647763171428,6.835370832057143,6.779954473457143,6.8177969350285705,6.694821900228572,6.819363718685712,6.799352158857143
LY6G6C,6.923023038971428,6.942204600114285,6.8869842110285715,6.8746003698285705,6.831095044228572,6.8679605289999985,6.83383658977143,6.8865222336,6.848887214485715,6.893431376342858,6.894180701657143,6.8929687194571425,6.841007930999999,6.9005529995714285,6.827503600428573,6.930573938999999,6.875977233057143,6.981729968
NFE2L1,10.578854490000001,10.587831349999998,10.723958939999997,10.75366908,10.66412908,10.819867320000002,10.81072652,10.770259720000002,10.751264919999999,10.870284289999999,10.913979050000002,10.726557399999999,11.027042250000001,10.717726420000002,10.66174227,10.60208042,11.00675808,10.90019193
NDNF,6.810320690999999,6.872655348514286,6.775569498,6.921009782542857,6.929989769,6.791643514271428,7.1103820503714275,7.057039862999999,7.014520758057144,7.158227686857144,7.157965502000001,7.137657238999999,7.122100210000001,7.006357061799998,7.138529587657143,7.114052607,7.244530384999999,7.1368463170571435
CYTIP,7.022270139171428,6.920502358199999,6.9770223840000005,6.827305861699999,7.028155482,7.174999332999999,6.786228510999999,6.980674535028572,6.935636960371427,6.8220350754,6.9143625276571425,6.986274714914284,6.887920523428572,7.109771442000001,6.892086436571429,6.9151364966285715,6.961075599,6.97212043822857
PHF24,7.976414643999999,8.042497586000001,8.071892178999997,8.152559293000001,7.944531375057142,7.983557772999997,7.887703099000001,8.112632288999999,7.9491841710000015,8.056641304999998,8.116841877999999,7.712928053999998,8.134705985999998,8.126041515999999,8.010972268999998,7.612372558,8.181547804,8.082458839000001
ZCCHC7,6.829583628028572,6.766218201914285,6.812048775485715,6.802661742000001,6.8417236718,6.7927888568000006,6.733623686,6.873425170628572,6.879581715,6.807738638000001,6.813287092999999,6.7994943111142865,6.706809705000001,6.860964149971429,6.7334419145142865,6.690650153,6.783675593657143,6.9002208
PHF5A,10.133510629999998,10.034882130000002,10.50061122,10.842128399999998,10.20436743,10.070478929999998,10.253703229999998,10.256473280000002,10.216481499999999,10.732911699999999,10.698158369999998,10.23704332,10.259484059999998,10.142107563714285,10.039651540000001,10.116470049999998,10.425802807714284,10.18181719
ALKBH7,9.621213099999997,9.663357240742855,9.612426046,9.519930546000001,9.518630670999999,9.656353801000002,9.348213429,9.474406666,9.022685389,9.419620031000003,9.309273104999999,9.240435542999998,9.384137356999998,9.471598304,9.608522455000001,9.394194136000001,9.335333451999999,8.913731262
CYC1,11.324825840000003,11.306995480000001,11.259050479999999,11.02149247,11.185324980000003,11.184187969999998,11.291812779999999,11.077906830000002,11.20826188,11.00675808,11.163659189999999,10.819867320000002,11.035353030000001,11.239441049999998,11.14167339,11.31409593,10.98001265,11.298485219999998
