,hippocampus_pilocarpine_vehicle_rep1,hippocampus_pilocarpine_vehicle_rep2,hippocampus_pilocarpine_vehicle_rep3,hippocampus_pilocarpine_vehicle_rep4,hippocampus_pilocarpine_vehicle_rep5,hippocampus_pilocarpine_vehicle_rep6,hippocampus_pilocarpine_vehicle_rep7,hippocampus_pilocarpine_vehicle_rep8,hippocampus_pilocarpine_vehicle_rep9,hippocampus_pilocarpine_vehicle_rep10,hippocampus_pilocarpine_vehicle_rep11,hippocampus_pilocarpine_vehicle_rep12,hippocampus_pilocarpine_vehicle_rep13,hippocampus_pilocarpine_vehicle_rep14,hippocampus_pilocarpine_vehicle_rep15,hippocampus_pilocarpine_vehicle_rep16,hippocampus_pilocarpine_vehicle_rep17
HDAC3,9.891899512,9.76128932,9.645347946000003,9.718513767,9.867463594000002,9.923724401000001,9.929102387999999,9.703897012000002,9.760652209999998,9.715581080999998,9.677260085999999,10.004683689999998,9.989805369,9.987905539999998,10.077047380000002,10.077881419999999,9.754060284
PECR,6.995160217399999,7.065109601,7.089779206,7.0742693416,6.9193183454571425,7.029655567828572,7.078465513999999,6.955842307000001,6.934269035542856,6.942090018600002,7.109514405,6.994479836000001,7.036785870142857,6.983745721514286,6.956541198171429,6.939824945971428,6.981968216657143
UNC13B,8.869725614,8.74481247,8.627584185171429,8.748119212999999,8.788619386,8.995222899999998,9.000638331000001,8.520834487,8.747640540000003,8.707261631,8.761762998,8.819930205999999,8.502554777,8.843759004999999,8.73645489,8.66336342,8.760535226
NDUFA12,12.494748300000003,12.327465280000002,12.28759729,12.29467976,12.139820129999999,11.9395495,12.20018453,12.385337970000002,12.270871600000001,12.350038579999998,12.125614929999998,12.152817299999999,11.948102670000003,12.092725859999998,12.04473642,11.806503140000002,12.110320820000002
HBS1L,6.829184695371429,6.907132155657143,6.853584190457142,6.795854798428571,6.8826472563714285,6.745973291342859,6.911880183885715,6.887017897028571,6.918861795400002,6.884893348057143,6.845458161514286,6.940864918028572,6.9322092995428575,6.957952861742858,6.973433717514287,6.966106630514286,6.863703191399999
TICAM1,6.891863864228572,6.904493058685713,6.988909770714287,6.98409203,6.836804987657142,6.984773378,6.855786215657143,7.025833379800002,7.070335919657144,7.101445830000001,7.0111945394857145,6.987603446314284,7.1065462034571425,6.926890052,7.058681817000001,7.050138165685715,7.1131662539999985
MFAP3L,7.025132290971428,7.188386307000001,7.062460429999999,7.106994590314285,6.924969237000001,7.112091357000001,7.00594895,7.11224668,6.929285789000001,7.059956929600001,7.103372955999999,6.959212449771431,7.0441257912,6.94233775517143,6.935555194771428,6.932435805485715,6.9339310460000005
ARMCX2,11.00534883,11.102735479999998,11.01565861,11.090621450000002,11.06276971,10.93490033,11.192207000000002,11.125888429999998,11.04401055,11.000570840000002,10.785173989999999,11.083639899999998,10.98001265,11.086769049999997,10.941874699999998,10.984207860000001,11.22585641
CETN2,6.917004270314285,6.911460861999998,6.864909270257144,6.896568500999999,6.794510727514286,6.861539062885714,6.8718183578000005,6.934421671599999,6.860240230114285,6.823903592199999,6.779809724114285,6.931434193571429,6.922063563657143,6.8711199582,6.994554872999999,6.898533934685714,6.954466109000001
TOE1,7.1672630902000005,7.206060748999999,7.217417794,7.286796675999999,7.1824511210000015,7.123318920999999,7.210629132942856,7.181072284000001,7.127173690000001,7.2301941130000005,7.118000920142858,7.108760096685715,7.221022966,7.066965377600001,7.1836310459999995,7.1454812023142855,7.1300536194571436
PHYKPL,7.0583737634,7.118242247000001,6.9892545120000005,7.130527160971427,7.097293046,7.101838223057143,7.1580562290000005,6.994705452000001,7.060256172057142,6.922110385,7.0770637690000004,6.96085914902857,6.950900267514285,7.047516217514286,7.027398044314285,7.0764411890000005,7.047380038999999
HCST,7.236418652,7.206735529,7.193176658,7.229743395000001,7.159106342999999,7.095212788999999,7.217090526,7.0989073044857145,7.091156906171428,7.146871914,7.2202034579999985,7.210629132942856,7.209301227999998,7.033760472457142,7.342200228,7.235251924000001,7.274358331
NT5DC1,7.119183927,7.075209309,6.997615446228572,6.980064817114288,7.0074478483142855,7.107461238000001,7.0553928276285705,7.089779206,7.0780871494857145,7.1879518476,7.0771776850000006,7.163483963,7.106691584999999,7.1046472939999985,7.112999051999999,7.090556776514285,7.241421758999999
VMN1R64,6.822718960657145,6.804102745314285,6.758498997428572,6.818402512800001,6.799105358085714,6.828229397399999,6.828786754657145,6.776340372142856,6.857333071999999,6.833266017114286,6.741019050000001,6.847207728714285,6.819406979914286,6.8237681954,6.883579573942857,6.660076531,6.8396998626857135
CCDC28B,9.262391781000002,8.985448078,9.413530813000001,9.404289747,9.213490474000002,8.783338166000002,9.067647038,9.381159769000002,9.065416356000002,9.171422681000003,9.14681141737143,8.92034944,9.088312938,9.157707844,8.931761790999998,9.132065117000002,9.207386988
PPIL3,9.697906229,9.583538125000002,9.574608080000003,9.689442097999997,9.533163113999999,9.271623830000001,9.59676141,9.551965413,9.562844752999998,9.440060916,9.367665277999999,9.644213523000001,9.511875368,9.774294175000001,9.906272625999998,9.875620430000001,9.915583399
CAMK1D,7.363380626485713,7.298011500257143,7.2429157845428564,7.346216992,7.328703616,7.291420698,7.282968203999999,7.298847026000001,7.430609774,7.222543943000001,7.169956555,7.314447994,7.261127873028571,7.308488896,7.404166583085714,7.274109825000001,7.168738132
ANKS1,8.051240555,8.457632584,7.930610249999998,7.882820883000001,7.9516292160000015,8.12267340322857,7.904486491,7.93946653,7.9232333709999985,8.226344558999998,8.089419373,7.876813850000001,8.241749450999999,8.045484895000001,7.956079494999999,8.030110259000002,7.969808912000001
ARPC1A,10.674580470000002,10.44564032,10.56016574,10.768989149999998,10.63950301,10.36737072,10.649025279999998,10.752562940000002,10.785173989999999,10.87406489,10.723958939999997,10.626264830000002,10.499513830000001,10.293621570000003,10.651377900000002,10.389321419999998,10.421113919999998
HEPH,6.768540706942857,6.763217422342857,6.917274861857142,6.8514395195999995,6.830329194514286,6.816280234800002,6.780797530885716,6.915794224828571,6.879003847628571,6.775204231,6.931020254857143,6.862166038142857,6.864520144657144,6.8510701688571425,6.846450993942856,6.767311630342856,6.849430319342857
TRP53I11,7.088454601628573,7.046689046028571,7.155237754000001,7.115984191,7.121720777000001,7.180307784000001,7.054368685942857,7.234754692,7.0126757502571415,7.163129216,7.065170526,7.030330024228573,7.043428648,6.880555670114287,7.024092611714285,6.966565438942857,6.996442345742857
VMN1R203,6.7513413436,6.853943525657141,6.874643866257142,6.825504440085715,6.9444118840857145,6.920527561199999,6.782533156142858,6.757030382199999,6.785195264542858,6.739276585999999,6.779460566000001,6.767988848428571,6.747160906,6.748542432,6.784647256085715,6.699664374000001,6.7963791938
FAF1,6.829086222999998,6.805503164714285,6.747682956000001,6.786592313400001,6.759331316400001,6.813748701342858,6.818689466028571,6.896204161428571,6.8571435350000005,6.763947554485713,6.853404304942857,6.794790716485713,6.829701754857144,7.045097561000001,6.891121158171427,6.8322100424857135,6.8225314392000005
PRKAR2B,6.703620031000001,6.87441372482857,6.772631796485715,6.741622835600001,6.707234398,6.8318664763714265,6.783189830571428,6.939319901685713,6.776250126742857,6.78083587402857,6.748542432,6.866734660714284,6.790862282457142,6.7402094880000005,6.7782762731714294,6.829615383628571,6.823903592199999
MAGEE1,10.23794876,10.118794209999999,9.887525514,10.069849420000002,10.402935239999998,10.20199319,10.269594770000001,10.072109199999998,10.02784556,9.71406549,9.765332579628572,10.185387909999998,10.251240320000003,10.22868137,10.331430380000002,10.435906429999998,10.125000989999998
ITGB2L,6.8437837982000005,6.791265499942857,6.923122011999999,6.872894938371428,6.941719301885714,6.841511445485714,6.878244031628571,6.746873838999999,6.8232915137142855,6.835554408371427,6.731117670057142,6.651300058999999,6.846306626371429,6.708878682999999,6.816763081742858,6.739800606514284,6.74330530377143
PYGM,7.086755113000001,7.171436295,7.428379975,7.103199632999999,7.049685222,7.070466546000001,7.226159908999999,7.165126254428571,7.172888552885714,7.1822427310000005,7.105197672485715,6.910263630114287,7.070394207,7.1336255548,7.123466555999999,7.106827396,7.093301389
AMOT,6.727113940085715,6.832163976228573,6.845042022542857,6.752511621399998,6.816653084257145,6.742541875,6.836442844714284,6.790063736685714,6.808159968828572,6.730321372,6.8679223942571435,6.770468373457142,6.857159049171428,6.8112266222,6.8119064155142866,6.8304245601428555,6.740745627914288
WNT3A,6.859757544771428,6.8153318,6.7633722,6.829237150685713,6.8760747452,6.773095448314286,6.790320855628571,6.86610012622857,6.749631889142857,6.736465429628571,6.764208278800001,6.820259099828572,6.789215809228571,6.753322398514286,6.789563267571428,6.835257592999999,6.795174308942856
ACSM5,6.9059898332000005,6.966787805,6.859050022214285,6.8665796716,6.883685698571428,6.912528694,6.8107097618,6.942834006,6.957438302514284,6.94921863137143,6.878144685,6.955874892999999,7.069414225371429,6.812639087257144,6.974721727942857,6.988616433714284,6.920348563742858
S100A16,9.123320571000002,9.273333692999998,8.914230530999998,8.594982817000002,8.501292593,9.168147802000002,8.901900958999997,8.812040305999998,8.798296715,9.204796478999999,8.947887469000001,8.792230669,8.785116366000002,8.905525051999998,8.577230657,8.725794092000001,8.914230530999998
SMC1A,7.113083888999999,7.075777841257143,7.100128076,7.160091499999998,7.1606259523428575,7.148801053,7.138179705628571,7.2966763640000005,7.120890927714285,7.035742569000001,7.093799612999999,7.196049093028571,7.058520660571428,7.008161445199999,7.229306604000001,7.036569587999999,7.090494659485714
