simulation,sample_comp_mean,sample_comp_std,correctness
124,757.830645161,133.33415,100.0
125,758.296,132.90081,100.0
126,757.603174603,132.59881,100.0
127,756.31496063,132.86496,100.0
128,754.96875,133.21165,100.0
129,754.705426357,132.72776,100.0
130,755.069230769,132.28083,100.0
131,753.480916031,133.01354,100.0
132,754.227272727,132.78381,100.0
133,754.142857143,132.28723,100.0
134,753.597014925,131.94295,100.0
135,753.362962963,131.48128,100.0
136,752.470588235,131.4067,100.0
137,752.948905109,131.045,100.0
138,752.065217391,130.97838,100.0
139,754.366906475,133.27794,100.0
140,753.464285714,133.22679,100.0
141,754.035460993,132.92543,100.0
142,754.528169014,132.5857,100.0
143,754.160839161,132.19379,100.0
144,754.548611111,131.81557,100.0
145,754.413793103,131.37021,100.0
146,755.349315068,131.40331,100.0
147,756.040816327,131.22188,100.0
148,756.135135135,130.78281,100.0
149,756.395973154,130.38183,100.0
150,756.586666667,129.96734,100.0
151,756.854304636,129.57773,100.0
152,757.059210526,129.17533,100.0
153,755.960784314,129.46274,100.0
154,755.733766234,129.07227,100.0
155,753.967741935,130.50851,100.0
156,755.141025641,130.90706,100.0
157,755.331210191,130.51112,100.0
158,754.867088608,130.22736,100.0
159,755.616352201,130.15838,100.0
160,755.98125,129.83256,100.0
161,755.931677019,129.43024,100.0
162,756.098765432,129.04757,100.0
163,757.239263804,129.46747,100.0
164,756.231707317,129.71157,100.0
165,756.363636364,129.32895,100.0
166,756.644578313,128.98931,100.0
167,756.77245509,128.61308,100.0
168,755.898809524,128.72579,100.0
169,756.319526627,128.46017,100.0
170,757.241176471,128.64098,100.0
171,758.093567251,128.74487,100.0
172,758.459302326,128.45913,100.0
173,757.942196532,128.26673,100.0
174,757.787356322,127.91383,100.0
175,758.177142857,127.65143,100.0
176,756.613636364,128.95775,100.0
177,757.598870056,129.25551,100.0
178,757.578651685,128.8922,100.0
179,757.340782123,128.57083,100.0
180,757.283333333,128.2155,100.0
181,756.585635359,128.20301,100.0
182,757.324175824,128.23583,100.0
183,756.846994536,128.0469,100.0
184,756.385869565,127.85075,100.0
185,757.054054054,127.82648,100.0
186,758.360215054,128.71434,100.0
187,757.732620321,128.65476,100.0
188,757.792553191,128.31475,100.0
189,757.687830688,127.9829,100.0
190,756.794736842,128.2348,100.0
191,756.42408377,128.00067,100.0
192,755.979166667,127.81489,100.0
193,756.124352332,127.4992,100.0
194,756.340206186,127.20552,100.0
195,756.871794872,127.09479,100.0
196,757.239795918,126.87427,100.0
197,756.329949239,127.19128,100.0
198,756.257575758,126.87375,100.0
199,757.663316583,128.0911,100.0
200,759.295,129.82722,100.0
201,760.144278607,130.05963,100.0
202,760.742574257,130.01429,100.0
203,760.246305419,129.88532,100.0
204,761.12745098,130.17339,100.0
205,761.009756098,129.86639,100.0
206,761.475728155,129.72247,100.0
207,761.183574879,129.47667,100.0
208,760.889423077,129.23437,100.0
209,761.880382775,129.71456,100.0
210,762.647619048,129.87983,100.0
211,762.777251185,129.58531,100.0
212,761.849056604,129.9805,100.0
213,761.136150235,130.0898,100.0
214,760.556074766,130.06132,100.0
215,760.441860465,129.76926,100.0
216,761.00462963,129.73122,100.0
217,760.442396313,129.69545,100.0
218,760.880733945,129.55865,100.0
219,761.575342466,129.66873,100.0
220,761.75,129.39951,100.0
221,761.402714932,129.20914,100.0
222,761.310810811,128.92504,100.0
223,761.838565022,128.87576,100.0
224,761.803571429,128.58883,100.0
225,762.764444444,129.1062,100.0
226,762.867256637,128.82948,100.0
227,762.696035242,128.57117,100.0
228,761.903508772,128.8434,100.0
229,763.069868996,129.76248,100.0
230,762.430434783,129.84115,100.0
231,763.471861472,130.51894,100.0
232,763.732758621,130.29769,100.0
233,764.733905579,130.90896,100.0
234,764.145299145,130.93756,100.0
235,764.893617021,131.15916,100.0
236,764.889830508,130.881,100.0
237,765.105485232,130.6466,100.0
238,764.718487395,130.5079,100.0
239,763.539748954,131.49802,100.0
240,762.983333333,131.50542,100.0
241,763.087136929,131.24215,100.0
242,763.066115702,130.97112,100.0
243,763.53909465,130.90829,100.0
244,762.87295082,131.05181,100.0
