simulation,sample_comp_mean,sample_comp_std,correctness
126,726.341269841,159.08414,100.0
127,727.149606299,158.71616,100.0
128,726.421875,158.30753,100.0
129,725.294573643,158.20766,100.0
130,724.953846154,157.64551,100.0
131,724.419847328,157.16063,100.0
132,724.734848485,156.6057,100.0
133,725.172932331,156.09702,100.0
134,725.71641791,155.63973,100.0
135,725.696296296,155.06239,100.0
136,726.080882353,154.55587,100.0
137,725.598540146,154.09346,100.0
138,724.02173913,154.63943,100.0
139,725.532374101,155.10072,100.0
140,725.392857143,154.55455,100.0
141,724.687943262,154.2312,100.0
142,724.056338028,153.87006,100.0
143,725.321678322,154.07071,100.0
144,727.715277778,156.18012,100.0
145,729.117241379,156.54725,100.0
146,729.684931507,156.1599,100.0
147,731.034013605,156.47922,100.0
148,732.837837838,157.47574,100.0
149,731.637583893,157.62419,100.0
150,733.0,157.97569,100.0
151,731.735099338,158.21202,100.0
152,731.401315789,157.74406,100.0
153,731.137254902,157.26141,100.0
154,731.525974026,156.82372,100.0
155,730.793548387,156.58104,100.0
156,730.711538462,156.08171,100.0
157,730.566878981,155.59433,100.0
158,731.240506329,155.33066,100.0
159,731.377358491,154.85098,100.0
160,731.96875,154.54633,100.0
161,731.689440994,154.10613,100.0
162,731.858024691,153.64465,100.0
163,731.478527607,153.24876,100.0
164,731.353658537,152.78914,100.0
165,731.727272727,152.40056,100.0
166,732.439759036,152.21622,100.0
167,734.083832335,153.23097,100.0
168,733.476190476,152.97591,100.0
169,733.686390533,152.54698,100.0
170,732.829411765,152.50512,100.0
171,732.269005848,152.234,100.0
172,733.86627907,153.22115,100.0
173,733.271676301,152.97656,100.0
174,733.350574713,152.53987,100.0
175,734.257142857,152.57278,100.0
176,733.159090909,152.83059,100.0
177,733.621468927,152.52166,100.0
178,735.0,153.19441,100.0
179,735.703910615,153.05429,100.0
180,734.372222222,153.66493,100.0
181,734.143646409,153.27054,100.0
182,734.335164835,152.8706,100.0
183,735.224043716,152.92324,100.0
184,734.804347826,152.61277,100.0
185,733.945945946,152.6445,100.0
186,734.903225806,152.78941,100.0
187,734.14973262,152.72645,100.0
188,734.345744681,152.3433,100.0
189,733.37037037,152.52718,100.0
190,733.226315789,152.13815,100.0
191,732.837696335,151.83388,100.0
192,732.255208333,151.65178,100.0
193,732.321243523,151.26116,100.0
194,732.489690722,150.88895,100.0
195,731.605128205,151.00502,100.0
196,731.081632653,150.7966,100.0
197,731.527918782,150.5431,100.0
198,731.474747475,150.16431,100.0
199,731.457286432,149.78674,100.0
200,731.395,149.41439,100.0
201,731.179104478,149.07352,100.0
202,730.861386139,148.77227,100.0
203,731.256157635,148.51141,100.0
204,731.833333333,148.37503,100.0
205,732.131707317,148.07403,100.0
206,731.703883495,147.84115,100.0
207,731.690821256,147.48373,100.0
208,731.788461538,147.13548,100.0
209,731.057416268,147.16123,100.0
210,730.976190476,146.81512,100.0
211,731.369668246,146.57776,100.0
212,731.245283019,146.24281,100.0
213,730.704225352,146.11164,100.0
214,730.598130841,145.77808,100.0
215,731.069767442,145.60223,100.0
216,730.611111111,145.42039,100.0
217,731.626728111,145.85073,100.0
218,731.123853211,145.70426,100.0
219,731.493150685,145.47345,100.0
220,730.881818182,145.42413,100.0
221,730.520361991,145.19376,100.0
222,730.90990991,144.98208,100.0
